Symbol,Type,Sector,Mcap
ITTL,Innovative Tyres,Auto Components Companies,
SELLOWRAP,Sellowrap Indus.,Auto Components Companies,
539353,SAL Automotive,Auto Components Companies,
542459,Kranti Industrie,Auto Components Companies,
SHIGAN,Shigan Quantum,Auto Components Companies,
ASLIND,ASL Industries,Auto Components Companies,
VIAZ,Viaz Tyres,Auto Components Companies,
532933,Porwal Auto Comp,Auto Components Companies,
531994,Auto Pins (I),Auto Components Companies,
523888,V R Woodart,Auto Components Companies,
539314,Universal Auto.,Auto Components Companies,
539398,Vishal Bearings,Auto Components Companies,
PREMIUM,Premium Plast,Auto Components Companies,
539040,Tirupati Tyres,Auto Components Companies,
UWCSL,Ultra Wiring,Auto Components Companies,
530711,Jagan Lamps,Auto Components Companies,
509196,M M Rubber,Auto Components Companies,
513059,G S Auto Intl.,Auto Components Companies,
522207,Rasandik Engg.,Auto Components Companies,
505212,Jainex Aamcol,Auto Components Companies,
531144,EL Forge,Auto Components Companies,
508571,Cochin Malabar,Auto Components Companies,
MANDEEP,Mandeep Auto,Auto Components Companies,
PRECISION,Precision Metal.,Auto Components Companies,
530369,Vamshi Rubber,Auto Components Companies,
531346,Eastern Treads,Auto Components Companies,
520141,Sibar Auto Parts,Auto Components Companies,
513117,Amforge Inds.,Auto Components Companies,
500178,Harig Crankshaft,Auto Components Companies,
LAKPRE,Lak. Prec. Screw,Auto Components Companies,
506122,Kairosoft AI,Auto Components Companies,
513687,Spectra Industri,Auto Components Companies,
505100,India Radiators,Auto Components Companies,
HDFCBANK,HDFC Bank,Banks,
ICICIBANK,ICICI Bank,Banks,
SBIN,SBI,Banks,
KOTAKBANK,Kotak Mah. Bank,Banks,
AXISBANK,Axis Bank,Banks,
BANKBARODA,Bank of Baroda,Banks,
PNB,Punjab Natl.Bank,Banks,
CANBK,Canara Bank,Banks,
UNIONBANK,Union Bank (I),Banks,
INDIANB,Indian Bank,Banks,
IDBI,IDBI Bank,Banks,
IOB,I O B,Banks,
AUBANK,AU Small Finance,Banks,
YESBANK,Yes Bank,Banks,
IDFCFIRSTB,IDFC First Bank,Banks,
INDUSINDBK,IndusInd Bank,Banks,
BANKINDIA,Bank of India,Banks,
FEDERALBNK,Federal Bank,Banks,
MAHABANK,Bank of Maha,Banks,
UCOBANK,UCO Bank,Banks,
CENTRALBK,Central Bank,Banks,
KARURVYSYA,Karur Vysya Bank,Banks,
BANDHANBNK,Bandhan Bank,Banks,
CUB,City Union Bank,Banks,
PSB,Pun. & Sind Bank,Banks,
RBLBANK,RBL Bank,Banks,
J&KBANK,J & K Bank,Banks,
SOUTHBANK,South Ind.Bank,Banks,
UJJIVANSFB,Ujjivan Small,Banks,
TMB,T N Merc. Bank,Banks,
KTKBANK,Karnataka Bank,Banks,
EQUITASBNK,Equitas Sma. Fin,Banks,
CSBBANK,CSB Bank,Banks,
DCBBANK,DCB Bank,Banks,
JSFB,Jana Small Finan,Banks,
UTKARSHBNK,Utkarsh Small F.,Banks,
FINOPB,Fino Payments,Banks,
SURYODAY,Suryoday Small,Banks,
ESAFSFB,ESAF Small Fin,Banks,
CAPITALSFB,Capital Small,Banks,
DHANBANK,Dhanlaxmi Bank,Banks,
VBL,Varun Beverages,Beverages Companies,
