Symbol	Type	Sector	Mcap
ALICON	Alicon Cast.	Auto Components Companies	1
IGARASHI	Igarashi Motors	Auto Components Companies	1
GNA	GNA Axles	Auto Components Companies	1
IMPAL	India Motor Part	Auto Components Companies	1
HITECHGEAR	The Hi-Tech Gear	Auto Components Companies	1
RACLGEAR	RACL Geartech	Auto Components Companies	1
BHARATSE	Bharat Seats	Auto Components Companies	1
505036	Auto.Corp.of Goa	Auto Components Companies	1
KROSS	Kross Ltd	Auto Components Companies	1
538992	Sar Auto Prod.	Auto Components Companies	1
STERTOOLS	Sterling Tools	Auto Components Companies	1
515043	Saint-Gob. Sekur	Auto Components Companies	1
508807	IST	Auto Components Companies	1
JAYBARMARU	Jay Bharat Maru.	Auto Components Companies	1
533477	Enkei Wheels	Auto Components Companies	1
OBSCP	OBSC Perfection	Auto Components Companies	1
ASAL	Automotive Stamp	Auto Components Companies	1
MUNJALAU	Munjal Auto Inds	Auto Components Companies	1
505163	Z F Steering	Auto Components Companies	1
500240	Kinetic Engg.	Auto Components Companies	1
HINDCOMPOS	Hind.Composites	Auto Components Companies	1
MENONBE	Menon Bearings	Auto Components Companies	1
TOLINS	Tolins Tyres	Auto Components Companies	1
505232	Veljan Denison	Auto Components Companies	1
MUNJALSHOW	Munjal Showa	Auto Components Companies	1
MAXVOLT	Maxvolt Energy	Auto Components Companies	1
544347	CLN Energy	Auto Components Companies	1
517286	RNIT AI Solution	Auto Components Companies	1
513532	Pradeep Metals	Auto Components Companies	1
REMSONSIND	Remsons Ind	Auto Components Companies	1
PAVNAIND	Pavna Industries	Auto Components Companies	1
513252	Jay Ushin	Auto Components Companies	1
SHIVAMAUTO	Shivam Autotech	Auto Components Companies	1
505978	Triton Valves	Auto Components Companies	1
509162	Indag Rubber	Auto Components Companies	1
AUTOIND	Autoline Industr	Auto Components Companies	1
PPAP	PPAP Automotive	Auto Components Companies	1
SINTERCOM	Sintercom India	Auto Components Companies	1
538987	Talbros Engg.	Auto Components Companies	1
531727	Menon Pistons	Auto Components Companies	1
544166	Emmforce Auto.	Auto Components Companies	1
SUNDRMBRAK	Sundaram Brake	Auto Components Companies	1
531399	G G Automotive	Auto Components Companies	1
MODIRUBBER	Modi Rubber	Auto Components Companies	1
UCAL	Ucal	Auto Components Companies	1
TCL	Thaai	Auto Components Companies	1
PRITIKAUTO	Pritika Auto	Auto Components Companies	1
505681	Bimetal Bearings	Auto Components Companies	1
533007	LGB Forge	Auto Components Companies	1
505712	Him Teknoforg.	Auto Components Companies	1
SETCO	Setco Automotive	Auto Components Companies	1
GOLDSTAR	Goldstar Power	Auto Components Companies	1
PRITIKA	Pritika Engineer	Auto Components Companies	1
ETML	Emerald Tyre	Auto Components Companies	1
523248	Machino Plastics	Auto Components Companies	1
544616	Gallard Steel	Auto Components Companies	1
URAVIDEF	Uravi Defence &	Auto Components Companies	1
JMA	Jullundur Motor	Auto Components Companies	1
OMAXAUTO	Omax Autos	Auto Components Companies	1
542013	Dolfin Rubbers	Auto Components Companies	1
504908	Duncan Engg.	Auto Components Companies	1
BHARATGEAR	Bharat Gears	Auto Components Companies	1
504646	Bhagwati Auto	Auto Components Companies	1
530621	Akar Auto Indust	Auto Components Companies	1
523638	IP Rings	Auto Components Companies	1
505827	SNL Bearings	Auto Components Companies	1
505893	Hindustan Hardy	Auto Components Companies	1
507998	Simm. Marshall	Auto Components Companies	1
FORGEAUTO	Forge Auto	Auto Components Companies	1
520075	Samkrg Pistons	Auto Components Companies	1
544082	New Swan	Auto Components Companies	1
ITTL	Innovative Tyres	Auto Components Companies	1
SELLOWRAP	Sellowrap Indus.	Auto Components Companies	1
539353	SAL Automotive	Auto Components Companies	1
542459	Kranti Industrie	Auto Components Companies	1
SHIGAN	Shigan Quantum	Auto Components Companies	1
ASLIND	ASL Industries	Auto Components Companies	1
VIAZ	Viaz Tyres	Auto Components Companies	1
532933	Porwal Auto Comp	Auto Components Companies	1
531994	Auto Pins (I)	Auto Components Companies	1
523888	V R Woodart	Auto Components Companies	1
539314	Universal Auto.	Auto Components Companies	1
539398	Vishal Bearings	Auto Components Companies	1
PREMIUM	Premium Plast	Auto Components Companies	1
539040	Tirupati Tyres	Auto Components Companies	1
UWCSL	Ultra Wiring	Auto Components Companies	1
530711	Jagan Lamps	Auto Components Companies	1
509196	M M Rubber	Auto Components Companies	1
513059	G S Auto Intl.	Auto Components Companies	1
522207	Rasandik Engg.	Auto Components Companies	1
505212	Jainex Aamcol	Auto Components Companies	1
531144	EL Forge	Auto Components Companies	1
508571	Cochin Malabar	Auto Components Companies	1
MANDEEP	Mandeep Auto	Auto Components Companies	1
PRECISION	Precision Metal.	Auto Components Companies	1
530369	Vamshi Rubber	Auto Components Companies	1
531346	Eastern Treads	Auto Components Companies	1
520141	Sibar Auto Parts	Auto Components Companies	1
513117	Amforge Inds.	Auto Components Companies	1
500178	Harig Crankshaft	Auto Components Companies	1
LAKPRE	Lak. Prec. Screw	Auto Components Companies	1
506122	Kairosoft AI	Auto Components Companies	1
513687	Spectra Industri	Auto Components Companies	1
505100	India Radiators	Auto Components Companies	1
HDFCBANK	HDFC Bank	Banks	1
ICICIBANK	ICICI Bank	Banks	1
SBIN	SBI	Banks	1
KOTAKBANK	Kotak Mah. Bank	Banks	1
AXISBANK	Axis Bank	Banks	1
BANKBARODA	Bank of Baroda	Banks	1
PNB	Punjab Natl.Bank	Banks	1
CANBK	Canara Bank	Banks	1
UNIONBANK	Union Bank (I)	Banks	1
INDIANB	Indian Bank	Banks	1
IDBI	IDBI Bank	Banks	1
IOB	I O B	Banks	1
AUBANK	AU Small Finance	Banks	1
YESBANK	Yes Bank	Banks	1
IDFCFIRSTB	IDFC First Bank	Banks	1
INDUSINDBK	IndusInd Bank	Banks	1
BANKINDIA	Bank of India	Banks	1
FEDERALBNK	Federal Bank	Banks	1
MAHABANK	Bank of Maha	Banks	1
UCOBANK	UCO Bank	Banks	1
CENTRALBK	Central Bank	Banks	1
KARURVYSYA	Karur Vysya Bank	Banks	1
BANDHANBNK	Bandhan Bank	Banks	1
CUB	City Union Bank	Banks	1
PSB	Pun. & Sind Bank	Banks	1
RBLBANK	RBL Bank	Banks	1
J&KBANK	J & K Bank	Banks	1
SOUTHBANK	South Ind.Bank	Banks	1
UJJIVANSFB	Ujjivan Small	Banks	1
TMB	T N Merc. Bank	Banks	1
KTKBANK	Karnataka Bank	Banks	1
EQUITASBNK	Equitas Sma. Fin	Banks	1
CSBBANK	CSB Bank	Banks	1
DCBBANK	DCB Bank	Banks	1
JSFB	Jana Small Finan	Banks	1
UTKARSHBNK	Utkarsh Small F.	Banks	1
FINOPB	Fino Payments	Banks	1
SURYODAY	Suryoday Small	Banks	1
ESAFSFB	ESAF Small Fin	Banks	1
CAPITALSFB	Capital Small	Banks	1
DHANBANK	Dhanlaxmi Bank	Banks	1
VBL	Varun Beverages	Beverages Companies	1
UNITDSPR	United Spirits	Beverages Companies	1
UBL	United Breweries	Beverages Companies	1
RADICO	Radico Khaitan	Beverages Companies	1
