Symbol,Type,Sector,Sectors,Industrys
REDTAPE,Redtape https,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
KIRLPNU,Kirlpnu Pneumatic,Oil & Gas-Industrials,Oil & Gas,Industrials
PRSMJOHNSN,Prsmjohnsn Johnson,Financial Services-Commodities,Financial Services,Commodities
IMFA,Imfa Metals,Financial Services-Commodities,Financial Services,Commodities
MASTEK,Mastek https,Financial Services-Information Technology,Financial Services,Information Technology
OSWALPUMPS,Oswalpumps Pumps,Financial Services-Industrials,Financial Services,Industrials
INDIAGLYCO,Indiaglyco Glycols,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
AVL,Avl Vision,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
DBL,Dbl Buildcon,Financial Services-Industrials,Financial Services,Industrials
NETWORK18,Network18 Media,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
ASHAPURMIN,Ashapurmin Minech.,Financial Services-Commodities,Financial Services,Commodities
IFBIND,Ifbind Industries,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
GOKEX,Gokex Exports,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
SHILPAMED,Shilpamed Medicare,Financial Services-Healthcare,Financial Services,Healthcare
RAYMONDLSL,Raymondlsl Lifestyl,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
RELINFRA,Relinfra Infra.,Financial Services-Utilities,Financial Services,Utilities
RUSTOMJEE,Rustomjee Realtor,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
PNCINFRA,Pncinfra Infratech,Financial Services-Industrials,Financial Services,Industrials
ARVINDFASN,Arvindfasn Fashions.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
1285775,1285775 Pharma,Financial Services-Consumer Discretionary,,
MHRIL,Mhril Holiday,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
GANESHHOU,Ganeshhou Housing,Financial Services-Healthcare,Financial Services,Consumer Discretionary
FDC,Fdc https,Financial Services-Commodities,Financial Services,Healthcare
ACI,Aci Chemical,Financial Services-Healthcare,Financial Services,Commodities
AKUMS,Akums Drugs,Financial Services-Commodities,Financial Services,Healthcare
MOIL,Moil https,Financial Services-Industrials,Financial Services,Commodities
AHLUCONT,Ahlucont Contr.,Financial Services-Consumer Discretionary,Financial Services,Industrials
SFL,Sfl Foam,Financial Services-Fast Moving Consumer Goods,Financial Services,Consumer Discretionary
HNDFDS,Hndfds Foods,Financial Services-Healthcare,Financial Services,Fast Moving Consumer Goods
KOVAI,Kovai Medical,Financial Services-Industrials,Financial Services,Healthcare
AVALON,Avalon Tech,Financial Services-Industrials,Financial Services,Industrials
MIDHANI,Midhani Dhatu Nig,Financial Services-Consumer Discretionary,Financial Services,Industrials
TIPSMUSIC,Tipsmusic Music,Financial Services-Industrials,Financial Services,Consumer Discretionary
UTLSOLAR,Utlsolar Power,Financial Services-Industrials,Financial Services,Industrials
EPL,Epl Ltd,Financial Services-Consumer Discretionary,Financial Services,Industrials
JUSTDIAL,Justdial Dial,Information Technology-Industrials,Financial Services,Consumer Discretionary
SHREMINVIT,Shreminvit InvIT,Financial Services-Consumer Discretionary,Information Technology,Industrials
VMART,Vmart Mart Retail,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
GREENLAM,Greenlam Industr,Financial Services-Commodities,Financial Services,Consumer Discretionary
JAIBALAJI,Jaibalaji Balaji Inds.,Financial Services-Healthcare,Financial Services,Commodities
AARTIPHARM,Aartipharm Pharma,Financial Services-Services,Financial Services,Healthcare
SMARTWORKS,Smartworks Cowor,Financial Services-Commodities,Financial Services,Services
JKPAPER,Jkpaper Paper,Financial Services-Industrials,Financial Services,Commodities
DYNAMATECH,Dynamatech Tech.,Financial Services-Commodities,Financial Services,Industrials
EPIGRAL,Epigral https,Financial Services-Consumer Discretionary,Financial Services,Commodities
SUPRAJIT,Suprajit Engg.,Financial Services-Industrials,Financial Services,Consumer Discretionary
AXISCADES,Axiscades Tech.,Financial Services-Consumer Discretionary,Financial Services,Industrials
ICIL,Icil Count Inds.,Financial Services-Industrials,Financial Services,Consumer Discretionary
ISGEC,Isgec Heavy,Financial Services-Industrials,Financial Services,Industrials
PRAJIND,Prajind Industries,Financial Services-Fast Moving Consumer Goods,Financial Services,Industrials
PICCADIL,Piccadil Agro,Financial Services-Consumer Discretionary,Financial Services,Fast Moving Consumer Goods
INDIGOPNTS,Indigopnts Paints,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
SUNTECK,Sunteck Realty,Financial Services-Financial Services,Financial Services,Consumer Discretionary
CRAMC,Cramc Robeco,Financial Services-Consumer Discretionary,Financial Services,Financial Services
RTNINDIA,Rtnindia Ent,Financial Services-Industrials,Financial Services,Consumer Discretionary
QPOWER,Qpower Power El,Financial Services-Healthcare,Financial Services,Industrials
SEQUENT,Sequent Scien.,Financial Services-Healthcare,Financial Services,Healthcare
SUPRIYA,Supriya Lifesci.,Financial Services-Financial Services,Financial Services,Healthcare
DCBBANK,Dcbbank Bank,Financial Services-Consumer Discretionary,Financial Services,Financial Services
SYMPHONY,Symphony https,Financial Services-Fast Moving Consumer Goods,Financial Services,Consumer Discretionary
RENUKA,Renuka Renuka Sugar,Financial Services-Consumer Discretionary,Financial Services,Fast Moving Consumer Goods
FIEMIND,Fiemind Industries,Financial Services-Information Technology,Financial Services,Consumer Discretionary
AURIONPRO,Aurionpro Sol.,Financial Services-Financial Services,Financial Services,Information Technology
ICRA,Icra https,Financial Services-Financial Services,Financial Services,Financial Services
PILANIINVS,Pilaniinvs Invest.,Financial Services-Fast Moving Consumer Goods,Financial Services,Financial Services
GOKULAGRO,Gokulagro Agro,Financial Services-Services,Financial Services,Fast Moving Consumer Goods
CMSINFO,Cmsinfo Info Systems,Financial Services-Industrials,Financial Services,Services
PARAS,Paras Defence,Oil & Gas-Energy,Financial Services,Industrials
GULFOILLUB,Gulfoillub Oil Lubric.,Financial Services-Consumer Discretionary,Oil & Gas,Energy
LGBBROSLTD,Lgbbrosltd G Balakrishnan,Financial Services-Financial Services,Financial Services,Consumer Discretionary
MASFIN,Masfin FINANC SER,Financial Services-Consumer Discretionary,Financial Services,Financial Services
PURVA,Purva https,Financial Services-Commodities,Financial Services,Consumer Discretionary
ELLEN,Ellen Indl.Gas,Financial Services-Commodities,Financial Services,Commodities
GHCL,Ghcl https,Financial Services-Consumer Discretionary,Financial Services,Commodities
BAJAJELEC,Bajajelec Electrical,Financial Services-Industrials,Financial Services,Consumer Discretionary
HGINFRA,Hginfra G. Infra Engg.,Financial Services-Financial Services,Financial Services,Industrials
INFIBEAM,Infibeam Avenues,Financial Services-Industrials,Financial Services,Financial Services
SURYAROSNI,Suryarosni Roshni,Financial Services-Commodities,Financial Services,Industrials
DHANUKA,Dhanuka Agritech,Financial Services-Consumer Discretionary,Financial Services,Commodities
PDSL,Pdsl https,Financial Services-Industrials,Financial Services,Consumer Discretionary
TIIL,Tiil Inds.,Financial Services-Industrials,Financial Services,Industrials
SUBROS,Subros https,Financial Services-Industrials,Financial Services,Industrials
KINGFA,Kingfa Science,Financial Services-Industrials,Financial Services,Industrials
SAATVIKGL,Saatvikgl Green,Financial Services-Consumer Discretionary,Financial Services,Industrials
RAJESHEXPO,Rajeshexpo Exports,Financial Services-Industrials,Financial Services,Consumer Discretionary
SKIPPER,Skipper https,Financial Services-Industrials,Financial Services,Industrials
SWANDEF,Swandef Defence,Financial Services-Consumer Discretionary,Financial Services,Industrials
SKYGOLD,Skygold Gold & Diam.,Financial Services-Utilities,Financial Services,Consumer Discretionary
RTNPOWER,Rtnpower Pow.,Financial Services-Consumer Discretionary,Financial Services,Utilities
SJS,Sjs Enterprises,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
VIPIND,Vipind I P Inds.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
JUNIPER,Juniper Hotels,Financial Services-Financial Services,Financial Services,Consumer Discretionary
FEDFINA,Fedfina Financi.,Financial Services-Industrials,Financial Services,Financial Services
GMMPFAUDLR,Gmmpfaudlr Pfaudler,Financial Services-Industrials,Financial Services,Industrials
SWSOLAR,Swsolar & Wils.,Financial Services-Consumer Discretionary,Financial Services,Industrials
SHARDAMOTR,Shardamotr Motor,Financial Services-Industrials,Financial Services,Consumer Discretionary
TEXRAIL,Texrail Rail,Financial Services-Financial Services,Financial Services,Industrials
INDOTHAI,Indothai Thai Sec.,Financial Services-Industrials,Financial Services,Financial Services
KENNAMET,Kennamet India,Financial Services-Consumer Discretionary,Financial Services,Industrials
SENCO,Senco Gold,Financial Services-Fast Moving Consumer Goods,Financial Services,Consumer Discretionary
KSCL,Kscl Seed Co.,Information Technology-Services,Financial Services,Fast Moving Consumer Goods
INDUSINVIT,Indusinvit Inf. Trust,Financial Services-Industrials,Information Technology,Services
ORIANA,Oriana Power Ltd,Financial Services-Industrials,Financial Services,Industrials
KRN,Krn Heat Exchan,Financial Services-Telecommunication,Financial Services,Industrials
STLTECH,Stltech Tech.,Financial Services-Financial Services,Financial Services,Telecommunication
STYL,Styl Tech.,Financial Services-Healthcare,Financial Services,Financial Services
ZOTA,Zota Health Care,Financial Services-Information Technology,Financial Services,Healthcare
ZAGGLE,Zaggle Prepaid,Financial Services-Information Technology,Financial Services,Information Technology
DATAMATICS,Datamatics Glob.,Financial Services-Utilities,Financial Services,Information Technology
IONEXCHANG,Ionexchang Exchange,Financial Services-Consumer Discretionary,Financial Services,Utilities
RESPONIND,Responind Ind,Financial Services-Commodities,Financial Services,Consumer Discretionary
LXCHEM,Lxchem Organic,Financial Services-Fast Moving Consumer Goods,Financial Services,Commodities
GAEL,Gael Ambuja Exp,Financial Services-Information Technology,Financial Services,Fast Moving Consumer Goods
EMUDHRA,Emudhra https,Financial Services-Services,Financial Services,Information Technology
TVSSCS,Tvsscs Supply,Financial Services-Consumer Discretionary,Financial Services,Services
ITDC,Itdc T D C,Financial Services-Industrials,Financial Services,Consumer Discretionary
ASHOKA,Ashoka Buildcon,Financial Services-Industrials,Financial Services,Industrials
BANSALWIRE,Bansalwire Wire Inds,Financial Services-Information Technology,Financial Services,Industrials
E2E,E2E E Networks,Financial Services-Industrials,Financial Services,Information Technology
UNIMECH,Unimech Aero.,Financial Services-Industrials,Financial Services,Industrials
MANINFRA,Maninfra Infra,Financial Services-Services,Financial Services,Industrials
SPICEJET,Spicejet https,Financial Services-Consumer Discretionary,Financial Services,Services
NIITMTS,Niitmts Learning,Financial Services-Industrials,Financial Services,Consumer Discretionary
AGI,Agi Greenpac,Financial Services-Services,Financial Services,Industrials
IBULLSLTD,Ibullsltd https,Financial Services-Telecommunication,Financial Services,Services
PACEDIGITK,Pacedigitk Digitek,Financial Services-Telecommunication,Financial Services,Telecommunication
OPTIEMUS,Optiemus Infra.,Financial Services-Commodities,Financial Services,Telecommunication
RALLIS,Rallis India,Financial Services-Industrials,Financial Services,Commodities
SHILCTECH,Shilctech Tech.,Financial Services-Commodities,Financial Services,Industrials
CHEMPLASTS,Chemplasts Sanmar,Financial Services-Services,Financial Services,Commodities
SHREEJISPG,Shreejispg Ship. Gl,Financial Services-Utilities,Financial Services,Services
PTC,Ptc India,Financial Services-Industrials,Financial Services,Utilities
WEBELSOLAR,Webelsolar Energy,Information Technology-Services,Financial Services,Industrials
IRBINVIT,Irbinvit InvIT Fund,Financial Services-Consumer Discretionary,Information Technology,Services
EMIL,Emil Mart,Information Technology-Information Technology,Financial Services,Consumer Discretionary
CAPILLARY,Capillary Tech.,Financial Services-Industrials,Information Technology,Information Technology
RPEL,Rpel Product.,Financial Services-Consumer Discretionary,Financial Services,Industrials
SHOPERSTOP,Shoperstop Stop,Financial Services-Industrials,Financial Services,Consumer Discretionary
GREAVESCOT,Greavescot Cotton,Financial Services-Information Technology,Financial Services,Industrials
RSYSTEMS,Rsystems Systems Intl.,Financial Services-Consumer Discretionary,Financial Services,Information Technology
JCHAC,Jchac Con. Hit,Financial Services-Information Technology,Financial Services,Consumer Discretionary
CIGNITITEC,Cignititec Tech.,Information Technology-Services,Financial Services,Information Technology
NDRINVIT,Ndrinvit INVIT Trust,Financial Services-Services,Information Technology,Services
INDIQUBE,Indiqube Spaces,Financial Services-Financial Services,Financial Services,Services
JSFB,Jsfb Small Finan,Financial Services-Healthcare,Financial Services,Financial Services
INDRAMEDCO,Indramedco Medical,Financial Services-Services,Financial Services,Healthcare
VRLLOG,Vrllog Logistics,Financial Services-Consumer Discretionary,Financial Services,Services
CRIZAC,Crizac https,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
LUMAXIND,Lumaxind Industries,Financial Services-Industrials,Financial Services,Consumer Discretionary
ELECTCAST,Electcast Cast.,Oil & Gas-Industrials,Financial Services,Industrials
ANUP,Anup Anup Enginee,Financial Services-Consumer Discretionary,Oil & Gas,Industrials
ENTERO,Entero Healthcar,Financial Services-Industrials,Financial Services,Consumer Discretionary
KNRCON,Knrcon Construct.,Financial Services-Industrials,Financial Services,Industrials
PRECWIRE,Precwire Wires (I),Financial Services-Industrials,Financial Services,Industrials
JKIL,Jkil Kumar Infra,Financial Services-Consumer Discretionary,Financial Services,Industrials
DBCORP,Dbcorp B Corp,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
SIS,Sis https,Financial Services-Fast Moving Consumer Goods,Financial Services,Consumer Discretionary
BANARISUG,Banarisug Amm.Sug.,Financial Services-Industrials,Financial Services,Fast Moving Consumer Goods
SWARAJENG,Swarajeng Engines,Financial Services-Industrials,Financial Services,Industrials
VSTTILLERS,Vsttillers Till. Tract.,Financial Services-Financial Services,Financial Services,Industrials
CARERATING,Carerating Ratings,Financial Services-Consumer Discretionary,Financial Services,Financial Services
HUBTOWN,Hubtown https,Financial Services-Financial Services,Financial Services,Consumer Discretionary
ARSSBL,Arssbl Rathi Shar,Financial Services-Healthcare,Financial Services,Financial Services
GUJTHEM,Gujthem Themis Bio.,Financial Services-Industrials,Financial Services,Healthcare
SUNFLAG,Sunflag Iron,Financial Services-Commodities,Financial Services,Industrials
REFEX,Refex Industries,Financial Services-Consumer Discretionary,Financial Services,Commodities
KITEX,Kitex Garments,Financial Services-Healthcare,Financial Services,Consumer Discretionary
SPARC,Sparc https,Financial Services-Healthcare,Financial Services,Healthcare
ARTEMISMED,Artemismed Medicare,Financial Services-Consumer Discretionary,Financial Services,Healthcare
GOLDIAM,Goldiam Intl.,Financial Services-Healthcare,Financial Services,Consumer Discretionary
ORCHPHARMA,Orchpharma Pharma,Financial Services-Commodities,Financial Services,Healthcare
SGMART,Sgmart Mart,Financial Services-Consumer Discretionary,Financial Services,Commodities
MIDWESTLTD,Midwestltd https,Financial Services-Industrials,Financial Services,Consumer Discretionary
HCC,Hcc Construct.,Financial Services-Healthcare,Financial Services,Industrials
INNOVACAP,Innovacap Captab,Financial Services-Commodities,Financial Services,Healthcare
BHARATRAS,Bharatras Rasayan,Financial Services-Commodities,Financial Services,Commodities
NFL,Nfl Fertilizer,Financial Services-Fast Moving Consumer Goods,Financial Services,Commodities
HERITGFOOD,Heritgfood Foods,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
VSTIND,Vstind Industries,Financial Services-Industrials,Financial Services,Fast Moving Consumer Goods
RAMKY,Ramky Infra,Financial Services-Fast Moving Consumer Goods,Financial Services,Industrials
PARAGMILK,Paragmilk Milk Foods,Financial Services-Telecommunication,Financial Services,Fast Moving Consumer Goods
ROUTE,Route Mobile,Financial Services-Consumer Discretionary,Financial Services,Telecommunication
JAMNAAUTO,Jamnaauto Auto Inds.,Financial Services-Industrials,Financial Services,Consumer Discretionary
CEIGALL,Ceigall India,Financial Services-Utilities,Financial Services,Industrials
UEL,Uel Energy,Financial Services-Financial Services,Financial Services,Utilities
NORTHARC,Northarc ARC,Financial Services-Fast Moving Consumer Goods,Financial Services,Financial Services
GOPAL,Gopal Snacks,Financial Services-Consumer Discretionary,Financial Services,Fast Moving Consumer Goods
SANATHAN,Sanathan Textile,Financial Services-Industrials,Financial Services,Consumer Discretionary
INTERARCH,Interarch Build.,Financial Services-Consumer Discretionary,Financial Services,Industrials
JTEKTINDIA,Jtektindia India,Financial Services-Commodities,Financial Services,Consumer Discretionary
HEIDELBERG,Heidelberg Cem.,Financial Services-Industrials,Financial Services,Commodities
AVANTEL,Avantel https,Financial Services-Commodities,Financial Services,Industrials
POCL,Pocl Oxides,Financial Services-Information Technology,Financial Services,Commodities
MOSCHIP,Moschip Tech.,Financial Services-Healthcare,Financial Services,Information Technology
AARTIDRUGS,Aartidrugs Drugs,Financial Services-Consumer Discretionary,Financial Services,Healthcare
SAMHI,Samhi Hotels,Financial Services-Commodities,Financial Services,Consumer Discretionary
GUJALKALI,Gujalkali Alkalies,Financial Services-Healthcare,Financial Services,Commodities
SUVEN,Suven Life Scie.,Financial Services-Consumer Discretionary,Financial Services,Healthcare
VAIBHAVGBL,Vaibhavgbl Global,Financial Services-Industrials,Financial Services,Consumer Discretionary
SMLMAH,Smlmah Mahindra,Financial Services-Consumer Discretionary,Financial Services,Industrials
TARC,Tarc Ltd,Financial Services-Services,Financial Services,Consumer Discretionary
HEMIPROP,Hemiprop Prop,Financial Services-Consumer Discretionary,Financial Services,Services
BOROLTD,Boroltd https,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
AJMERA,Ajmera Realty,Financial Services-Services,Financial Services,Consumer Discretionary
AWFIS,Awfis Space,Financial Services-Consumer Discretionary,Financial Services,Services
ORIENTELEC,Orientelec Electric,Financial Services-Fast Moving Consumer Goods,Financial Services,Consumer Discretionary
TRUALT,Trualt Bioenergy,Financial Services-Commodities,Financial Services,Fast Moving Consumer Goods
BALAMINES,Balamines Amines,Financial Services-Fast Moving Consumer Goods,Financial Services,Commodities
VADILALIND,Vadilalind Inds.,Oil & Gas-Industrials,Financial Services,Fast Moving Consumer Goods
GOODLUCK,Goodluck India,Financial Services-Consumer Discretionary,Oil & Gas,Industrials
MARATHON,Marathon Nextgen,Financial Services-Fast Moving Consumer Goods,Financial Services,Consumer Discretionary
BAJAJCON,Bajajcon Consumer,Financial Services-Industrials,Financial Services,Fast Moving Consumer Goods
KIRLOSIND,Kirlosind Indus.,Financial Services-Commodities,Financial Services,Industrials
RAIN,Rain Industries,Financial Services-Healthcare,Financial Services,Commodities
SENORES,Senores Pharma.,Financial Services-Healthcare,Financial Services,Healthcare
DCAL,Dcal Carbogen,Financial Services-Utilities,Financial Services,Healthcare
EIEL,Eiel Infra,Financial Services-Healthcare,Financial Services,Utilities
RPGLIFE,Rpglife LifeScience.,Financial Services-Information Technology,Financial Services,Healthcare
EBGNG,Ebgng Electronics,Financial Services-Commodities,Financial Services,Information Technology
NACLIND,Naclind Industries,Financial Services-Consumer Discretionary,Financial Services,Commodities
DPABHUSHAN,Dpabhushan P. Abhushan,Financial Services-Commodities,Financial Services,Consumer Discretionary
GRAUWEIL,Grauweil & Weil,Financial Services-Industrials,Financial Services,Commodities
UFLEX,Uflex https,Financial Services-Commodities,Financial Services,Industrials
MANGCHEFER,Mangchefer Chem.,Financial Services-Industrials,Financial Services,Commodities
CENTUM,Centum Electron,Financial Services-Industrials,Financial Services,Industrials
HARSHA,Harsha Engg Intl,Financial Services-Commodities,Financial Services,Industrials
ORIENTCEM,Orientcem Cement,Financial Services-Industrials,Financial Services,Commodities
SHANTIGEAR,Shantigear Gears,Financial Services-Financial Services,Financial Services,Industrials
SHAREINDIA,Shareindia India Sec.,Financial Services-Consumer Discretionary,Financial Services,Financial Services
WONDERLA,Wonderla Holiday,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
TVSSRICHAK,Tvssrichak Srichakra,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
EUROPRATIK,Europratik Pratik Sale,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
GREENPLY,Greenply Industr,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
RBA,Rba Brand,Financial Services-Information Technology,Financial Services,Consumer Discretionary
MCLOUD,Mcloud Cloud,Financial Services-Commodities,Financial Services,Information Technology
STYRENIX,Styrenix Perfor.,Information Technology-Utilities,Financial Services,Commodities
SEITINVIT,Seitinvit Ener,Financial Services-Healthcare,Information Technology,Utilities
ADVENZYMES,Advenzymes Enzyme,Financial Services-Consumer Discretionary,Financial Services,Healthcare
MPSLTD,Mpsltd https,Financial Services-Healthcare,Financial Services,Consumer Discretionary
GUFICBIO,Guficbio BioScience,Financial Services-Industrials,Financial Services,Healthcare
GKENERGY,Gkenergy Energy,Financial Services-Consumer Discretionary,Financial Services,Industrials
LUXIND,Luxind Industries,Financial Services-Industrials,Financial Services,Consumer Discretionary
PSPPROJECT,Pspproject Projects,Financial Services-Commodities,Financial Services,Industrials
MBAPL,Mbapl B Agro Prod.,Financial Services-Financial Services,Financial Services,Commodities
NSIL,Nsil Sons Invst,Financial Services-Commodities,Financial Services,Financial Services
JUBLCPL,Jublcpl Agri,Financial Services-Services,Financial Services,Commodities
SINDHUTRAD,Sindhutrad Trade,Financial Services-Industrials,Financial Services,Services
CYIENTDLM,Cyientdlm DLM,Financial Services-Consumer Discretionary,Financial Services,Industrials
KOLTEPATIL,Koltepatil Patil Dev.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
NAVNETEDUL,Navnetedul Educat.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
SIYSIL,Siysil Silk,Financial Services-Services,Financial Services,Consumer Discretionary
MSTCLTD,Mstcltd https,Financial Services-Financial Services,Financial Services,Services
MEDIASSIST,Mediassist Assist Ser.,Financial Services-Industrials,Financial Services,Financial Services
KSL,Ksl Steels,Financial Services-Commodities,Financial Services,Industrials
TATVA,Tatva Chintan,Financial Services-Commodities,Financial Services,Commodities
ROSSARI,Rossari Biotech,Financial Services-Consumer Discretionary,Financial Services,Commodities
RAYMONDREL,Raymondrel Realty,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
AGIIL,Agiil Infra,Financial Services-Information Technology,Financial Services,Consumer Discretionary
63MOONS,63Moons Tech.,Oil & Gas-Industrials,Financial Services,Information Technology
MANINDS,Maninds Industries,Financial Services-Consumer Discretionary,Oil & Gas,Industrials
STYLAMIND,Stylamind Industrie,Financial Services-Services,Financial Services,Consumer Discretionary
KMEW,Kmew Marine,Financial Services-Information Technology,Financial Services,Services
PROTEAN,Protean eGov,Financial Services-Commodities,Financial Services,Information Technology
FOSECOIND,Fosecoind India,Financial Services-Consumer Discretionary,Financial Services,Commodities
JINDWORLD,Jindworld Worldwide,Financial Services-Industrials,Financial Services,Consumer Discretionary
JISLJALEQS,Jisljaleqs Irrigation,Financial Services-Industrials,Financial Services,Industrials
UNIVCABLES,Univcables Cables,Financial Services-Financial Services,Financial Services,Industrials
DHANI,Dhani Services,Financial Services-Industrials,Financial Services,Financial Services
MARINE,Marine Electric.,Financial Services-Consumer Discretionary,Financial Services,Industrials
RAYMOND,Raymond https,Financial Services-Industrials,Financial Services,Consumer Discretionary
BBL,Bbl Bijlee,Financial Services-Commodities,Financial Services,Industrials
NEOGEN,Neogen Chemicals,Financial Services-Healthcare,Financial Services,Commodities
UNICHEMLAB,Unichemlab Labs.,Financial Services-Industrials,Financial Services,Healthcare
PITTIENG,Pittieng Engg.,Financial Services-Industrials,Financial Services,Industrials
HLEGLAS,Hleglas Glascoat,Financial Services-Commodities,Financial Services,Industrials
VISHNU,Vishnu Chemicals,Financial Services-Industrials,Financial Services,Commodities
PRINCEPIPE,Princepipe Pipes,Oil & Gas-Diversified,Financial Services,Industrials
BALMLAWRIE,Balmlawrie Lawrie,Financial Services-Commodities,Oil & Gas,Diversified
BHAGCHEM,Bhagchem Chem.,Financial Services-Consumer Discretionary,Financial Services,Commodities
GREENPANEL,Greenpanel Inds.,Financial Services-Industrials,Financial Services,Consumer Discretionary
SGLTL,Sgltl Glass,Financial Services-Commodities,Financial Services,Industrials
KIRIINDUS,Kiriindus Industries,Financial Services-Consumer Discretionary,Financial Services,Commodities
SABTNL,Sabtnl Adhik. Bros.,Financial Services-Services,Financial Services,Consumer Discretionary
MAHLOG,Mahlog Logis.,Financial Services-Fast Moving Consumer Goods,Financial Services,Services
FLAIR,Flair Writing,Financial Services-Consumer Discretionary,Financial Services,Fast Moving Consumer Goods
KDDL,Kddl Ltd,Financial Services-Fast Moving Consumer Goods,Financial Services,Consumer Discretionary
GLOBUSSPR,Globusspr Spirits,Financial Services-Financial Services,Financial Services,Fast Moving Consumer Goods
PAISALO,Paisalo Digital,Financial Services-Consumer Discretionary,Financial Services,Financial Services
KKCL,Kkcl Kir.Cloth.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
SANDHAR,Sandhar Tech,Financial Services-Services,Financial Services,Consumer Discretionary
QUESS,Quess Corp,Financial Services-Industrials,Financial Services,Services
SAMBHV,Sambhv Steel,Financial Services-Industrials,Financial Services,Industrials
EPACKPEB,Epackpeb PrefabTech,Financial Services-Financial Services,Financial Services,Industrials
INDOSTAR,Indostar Capital,Financial Services-Consumer Discretionary,Financial Services,Financial Services
SSWL,Sswl Str. Wheel,Financial Services-Information Technology,Financial Services,Consumer Discretionary
NPST,Npst People,Financial Services-Commodities,Financial Services,Information Technology
KRISHANA,Krishana Phosch.,Financial Services-Consumer Discretionary,Financial Services,Commodities
ARKADE,Arkade https,Oil & Gas-Energy,Financial Services,Consumer Discretionary
DEEPINDS,Deepinds Industries,Financial Services-Commodities,Oil & Gas,Energy
DDEVPLSTIK,Ddevplstik Plastiks,Financial Services-Industrials,Financial Services,Commodities
BGRENERGY,Bgrenergy Energy Sys.,Financial Services-Consumer Discretionary,Financial Services,Industrials
ASHIANA,Ashiana Housing,Financial Services-Industrials,Financial Services,Consumer Discretionary
ALPEXSOLAR,Alpexsolar Solar,Financial Services-Consumer Discretionary,Financial Services,Industrials
BOMDYEING,Bomdyeing Dyeing,Financial Services-Industrials,Financial Services,Consumer Discretionary
PENIND,Penind Industrie,Financial Services-Commodities,Financial Services,Industrials
PREMEXPLN,Premexpln Explosives,Financial Services-Financial Services,Financial Services,Commodities
TFCILTD,Tfciltd Fin. Corp.,Financial Services-Services,Financial Services,Financial Services
GATEWAY,Gateway Distri,Financial Services-Fast Moving Consumer Goods,Financial Services,Services
GRMOVER,Grmover Overseas,Financial Services-Consumer Discretionary,Financial Services,Fast Moving Consumer Goods
BRIGHOTEL,Brighotel Hotel,Financial Services-Services,Financial Services,Consumer Discretionary
SANGHVIMOV,Sanghvimov Movers,Financial Services-Commodities,Financial Services,Services
ORISSAMINE,Orissamine Minerals,Financial Services-Consumer Discretionary,Financial Services,Commodities
PARKHOTELS,Parkhotels Surrend.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
SIRCA,Sirca Paints,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
CARRARO,Carraro India,Financial Services-Industrials,Financial Services,Consumer Discretionary
JASH,Jash Engineering,Financial Services-Commodities,Financial Services,Industrials
TIRUMALCHM,Tirumalchm Chem.,Financial Services-Industrials,Financial Services,Commodities
RELTD,Reltd Energy,Financial Services-Consumer Discretionary,Financial Services,Industrials
POKARNA,Pokarna https,Financial Services-Commodities,Financial Services,Consumer Discretionary
CAMLINFINE,Camlinfine Fine,Financial Services-Financial Services,Financial Services,Commodities
MUTHOOTMF,Muthootmf Microfin,Oil & Gas-Energy,Financial Services,Financial Services
VEEDOL,Veedol Corporat,Financial Services-Industrials,Oil & Gas,Energy
PATELENG,Pateleng Engineerin,Financial Services-Consumer Discretionary,Financial Services,Industrials
GOCOLORS,Gocolors Fashion (I),Financial Services-Commodities,Financial Services,Consumer Discretionary
SAGCEM,Sagcem Cements,Financial Services-Financial Services,Financial Services,Commodities
